2-2;2,split
2-2;3,split
2-2;4,split
2-2;5,split
2-2;6,split
2-2;7,split
2-2;8,hit
2-2;9,hit
2-2;10,hit
2-2;A,hit
3-3;2,split
3-3;3,split
3-3;4,split
3-3;5,split
3-3;6,split
3-3;7,split
3-3;8,hit
3-3;9,hit
3-3;10,hit
3-3;A,hit
4-4;2,hit
4-4;3,hit
4-4;4,hit
4-4;5,split
4-4;6,split
4-4;7,hit
4-4;8,hit
4-4;9,hit
4-4;10,hit
4-4;A,hit
5-5;2,double
5-5;3,double
5-5;4,double
5-5;5,double
5-5;6,double
5-5;7,double
5-5;8,double
5-5;9,double
5-5;10,hit
5-5;A,hit
6-6;2,split
6-6;3,split
6-6;4,split
6-6;5,split
6-6;6,split
6-6;7,hit
6-6;8,hit
6-6;9,hit
6-6;10,hit
6-6;A,hit
7-7;2,split
7-7;3,split
7-7;4,split
7-7;5,split
7-7;6,split
7-7;7,split
7-7;8,hit
7-7;9,hit
7-7;10,hit
7-7;A,hit
8-8;2,split
8-8;3,split
8-8;4,split
8-8;5,split
8-8;6,split
8-8;7,split
8-8;8,split
8-8;9,split
8-8;10,split
8-8;A,split
9-9;2,split
9-9;3,split
9-9;4,split
9-9;5,split
9-9;6,split
9-9;7,stand
9-9;8,split
9-9;9,split
9-9;10,stand
9-9;A,stand
10-10;2,stand
10-10;3,stand
10-10;4,stand
10-10;5,stand
10-10;6,stand
10-10;7,stand
10-10;8,stand
10-10;9,stand
10-10;10,stand
10-10;A,stand
A-A;2,split
A-A;3,split
A-A;4,split
A-A;5,split
A-A;6,split
A-A;7,split
A-A;8,split
A-A;9,split
A-A;10,split
A-A;A,split
A-2;2,hit
A-2;3,hit
A-2;4,hit
A-2;5,double
A-2;6,double
A-2;7,hit
A-2;8,hit
A-2;9,hit
A-2;10,hit
A-2;A,hit
A-3;2,hit
A-3;3,hit
A-3;4,hit
A-3;5,double
A-3;6,double
A-3;7,hit
A-3;8,hit
A-3;9,hit
A-3;10,hit
A-3;A,hit
A-4;2,hit
A-4;3,hit
A-4;4,double
A-4;5,double
A-4;6,double
A-4;7,hit
A-4;8,hit
A-4;9,hit
A-4;10,hit
A-4;A,hit
A-5;2,hit
A-5;3,hit
A-5;4,double
A-5;5,double
A-5;6,double
A-5;7,hit
A-5;8,hit
A-5;9,hit
A-5;10,hit
A-5;A,hit
A-6;2,hit
A-6;3,double
A-6;4,double
A-6;5,double
A-6;6,double
A-6;7,hit
A-6;8,hit
A-6;9,hit
A-6;10,hit
A-6;A,hit
A-7;2,stand
A-7;3,double
A-7;4,double
A-7;5,double
A-7;6,double
A-7;7,stand
A-7;8,stand
A-7;9,hit
A-7;10,hit
A-7;A,hit
A-8;2,stand
A-8;3,stand
A-8;4,stand
A-8;5,stand
A-8;6,stand
A-8;7,stand
A-8;8,stand
A-8;9,stand
A-8;10,stand
A-8;A,stand
A-9;2,stand
A-9;3,stand
A-9;4,stand
A-9;5,stand
A-9;6,stand
A-9;7,stand
A-9;8,stand
A-9;9,stand
A-9;10,stand
A-9;A,stand
A-10;2,stand
A-10;3,stand
A-10;4,stand
A-10;5,stand
A-10;6,stand
A-10;7,stand
A-10;8,stand
A-10;9,stand
A-10;10,stand
A-10;A,stand
5-2;hit
5-3;hit
5-4;hit
5-5;hit
5-6;hit
5-7;hit
5-8;hit
5-9;hit
5-10;hit
5-A;hit
6-2;hit
6-3;hit
6-4;hit
6-5;hit
6-6;hit
6-7;hit
6-8;hit
6-9;hit
6-10;hit
6-A;hit
7-2;hit
7-3;hit
7-4;hit
7-5;hit
7-6;hit
7-7;hit
7-8;hit
7-9;hit
7-10;hit
7-A;hit
8-2;hit
8-3;hit
8-4;hit
8-5;hit
8-6;hit
8-7;hit
8-8;hit
8-9;hit
8-10;hit
8-A;hit
9-2;hit
9-3;double
9-4;double
9-5;double
9-6;double
9-7;hit
9-8;hit
9-9;hit
9-10;hit
9-A;hit
10-2;double
10-3;double
10-4;double
10-5;double
10-6;double
10-7;double
10-8;double
10-9;double
10-10;hit
10-A;hit
11-2;double
11-3;double
11-4;double
11-5;double
11-6;double
11-7;double
11-8;double
11-9;double
11-10;double
11-A;hit
12-2;
12-3;
12-4;
12-5;
12-6;
12-7;
12-8;
12-9;
12-10;
12-A;
13-2;
13-3;
13-4;
13-5;
13-6;
13-7;
13-8;
13-9;
13-10;
13-A;
14-2;
14-3;
14-4;
14-5;
14-6;
14-7;
14-8;
14-9;
14-10;
14-A;
15-2;
15-3;
15-4;
15-5;
15-6;
15-7;
15-8;
15-9;
15-10;
15-A;
16-2;
16-3;
16-4;
16-5;
16-6;
16-7;
16-8;
16-9;
16-10;
16-A;
17-x;,
17-x;,
17-x;,
17-x;,
17-x;,
17-x;,
17-x;,
17-x;,
17-x;,
17-x;,
